lang,text,nco_2015
en,Manager Stores Operation,4321.0401
hi,"पर्यवेक्षक और फोरमैन, वेल्डिंग और फ्लेम कटिंग",3122.4200
en,Executive Chef,1120.3100
ta,"தயாரிப்பாளர், திரைப்படம்",2654.0700
en,Crude Oil Treater (Oil Field),8131.2800
ta,கணினி ஆய்வாளர் (பிசிபி வடிவமைப்பு),2151.0601
en,Circuit Imaging Operator – Photo Imaging,7321.0802
hi,फिल्म डेवलपिंग मशीन ऑपरेटर,8132.0800
en,"Civil Engineer, General",2142.0100
en,Laboratory Attendant,8131.8700
ta,பொதுப் புத்தகக் காப்பாளர்/கணக்கு நிர்வாகி (பதிவு மற்றும் அறிக்கை),4311.0101
hi,"ऑयल क्रशर ऑपरेटर, पशु-चालित",7514.0200
ta,உறிஞ்சும் இயந்திர ஆபரேட்டர் (உணவு கேனிங் மற்றும் பாதுகாப்பு),8160.2200
ta,கேபிள் இணைப்பகம்,7422.0800
hi,"हाथ का दलालीकर्ता, जनरल",7533.0201
ta,"டெவலப்பர், புகைப்படக் கலைஞர்",8132.0200
en,Watch Repairer,7311.0200
ta,"தெரு விற்பனையாளர்கள், உணவு அல்லாத பொருட்கள், பிற",9520.9900
ta,"மதுபானம் தயாரிப்பாளர், காகித கூழ்",8171.0600
hi,रासायनिक विकिरण तकनीशियन,3111.0400
en,"Kiln Operator, Wood",7521.0100
ta,திவால் பதிவாளர்,2619.0600
hi,कास्टिंग मशीन ऑपरेटर (अलौह धातु),8121.4300
ta,ஸ்ப்லைசர் (கயிறு மற்றும் கேபிள்கள்),7215.0300
hi,"बॉयलर, परिचर",8182.0200
ta,"டை சிங்கர், கை",7222.0600
ta,"இயக்குநர், பிற சேவைகள்",1120.3600
hi,स्टॉकमैन,3240.0200
en,Maintenance Fitter – Mechanical,7233.0101
ta,"விற்பனையாளர், சில்லறை வர்த்தகம்",5249.0301
hi,"डाइजेस्टर ऑपरेटर, लकड़ी",6210.1800
hi,"विश्वविद्यालय और महाविद्यालय शिक्षक, चिकित्सा और शल्य चिकित्सा/प्रोफेसर/सहायक प्रोफेसर, चिकित्सा और शल्य चिकित्सा",2310.0900
en,"Statistical Finance and Insurance Clerks, Others",4312.9900
ta,மென்பொருள் உருவாக்குநர்-பயன்பாட்டு மேம்பாடு,2512.0204
en,"Surveyor, Photogrammetric",2165.0400
hi,एसोसिएट-एनालिटिक्स,2120.0501
en,"Khatedar, Salt Production",9329.0100
en,Ball Mill Operator (Cement & Ceramics),8181.2400
en,Automated Optical Inspection Machine Operator,3113.0803
hi,प्रबंधक-ग्राहक गुणवत्ता,1213.0102
ta,வார்ப் டைங் மெஷினேமன்,8152.1600
hi,परीक्षण के लिए डिजाइन इंजीनियर,2152.0502
hi,बल्ब फसल संवर्धक,6111.1401
ta,"உள்நாட்டு மற்றும் கடலோர மீன்வளத் தொழிலாளர்கள், பிற",6222.9900
en,"Inspector, Customs",3351.0100
en,Plant Pathologist,2131.1500
en,Tyre Inflation Attendant,9623.0501
en,Casting or Foundry Assistant/Helper,8121.3301
ta,சோதனை தொழில்நுட்ப வல்லுநர்,7231.0201
ta,"சுத்தம், சாளரம்",9122.0100
hi,यंत्र-निर्माता (वस्त्र) का पालन-पोषण करना,8154.2000
en,"Language Teacher, Middle School",2341.0200
ta,"சுகாதாரம், பாதுகாப்பு மற்றும் சுற்றுச்சூழல் அதிகாரி",3257.0600
en,Printer Photographic,8132.0100
hi,रखरखाव मैकेनिक,7422.0200
en,"Supervisor and Foreman, Motor Vehicle Repairing",3122.5300
en,Stitcher (Leather Goods and Garments),8153.0102
ta,பேட்டரி சேவை செய்பவர்,7419.0500
en,Horse Carriage Driver,9332.0100
hi,तकनीकी लेखक-उत्पाद प्रलेखन,2641.0901
hi,"सिपाही, सीमा शुल्क",5412.0200
hi,बिक्री/पूर्व-बिक्री कार्यकारी,2434.0201
ta,"முடிப்பவர், காகிதம்",8171.1700
en,Acrobat,2659.0200
en,Electrical Fitter,7412.0200
en,"Net Maker, Hand",7318.6400
en,Wig Maker,7531.1000
ta,ஸ்னஃப் மேக்கர்,7516.1000
hi,बैच मिक्सर (कांच),8181.2100
hi,"पोषण विशेषज्ञ, जनरल",2265.0100
ta,சேவை அலுவலக மேலாளர்,3322.2503
hi,"नलसाज, सामान्य-स्थापना और मरम्मत",7126.0103
en,"Chemical Engineer, General",2145.0100
ta,ஸ்டீரியோ மேட்ரிக்ஸ் மோல்டர்,7321.0500
ta,"சட்ட வல்லுநர்கள், பிற",2619.9900
hi,"सिविल इंजीनियर, रेलवे",2142.0700
hi,"पर्यवेक्षक और फोरमैन, डेयरी उत्पाद/डेयरी प्रौद्योगिकीविद्",3122.7200
ta,கயிறு நடனக் கலைஞர்,2659.0100
hi,डायर का वस्त्र,8154.1500
hi,प्रबंधक स्टोर संचालन,4321.0401
hi,बैंक क्लर्क,4311.0200
ta,பாதுகாப்பு விளக்கு சரிபார்ப்பு இயந்திரம்,7542.0200
hi,महावत,9332.0300
en,Furnace Helper,8181.3400
ta,வாடிக்கையாளர் பராமரிப்பு நிர்வாகி (அழைப்பு மையம்),5244.0303
ta,"பிரேக்கர், பயணிகள் ரயில்",8312.0500
ta,ஆதரவு பொறியாளர்,2511.0106
hi,"कैलेंडरमैन, हस्तनिर्मित कागज",8171.2400
ta,ட்ரேசர்,3118.0800
en,"Grinder, Tool and Cutter",7223.2200
ta,"இசைக் கருவி, சரம் கருவி",2652.0400
en,Framer – Computerised Embroidery Machine,8153.0701
ta,உள்ளடக்க பிளாட்டர்,7313.1201
ta,"இயக்குநர், தங்கும் மற்றும் உணவு சேவைகள்/இயக்குநர் உணவு மற்றும் பானங்கள் சேவை",1120.3000
hi,"क्रशर अटेंडेंट, स्टोन",7315.2200
hi,"चौफर, कैब ड्राइवर",8322.0102
ta,அரசு வழக்கறிஞர்,2611.0500
ta,பவுண்டிங் மெஷின் ஆபரேட்டர் (காலணி),8156.0100
ta,விக் மேக்கர்,7531.1000
hi,सहायक बिजली मिस्त्री,9313.0501
hi,स्लिवर लैप मैन/कॉम्बिंग प्रिपेरेटरी ऑपरेटर,7318.2900
ta,"இயந்திரப் பொறியாளர், ஆட்டோமொபைல்",2144.0700
ta,"ஃபினிஷர் ஃபீடர், சணல்",7318.4000
ta,டெலிவரி மேனேஜ்மென்ட் செல் ஏஜென்ட்,3339.0601
en,Sales Officer (Auto Insurance),3321.0101
hi,फ्रंट साइज़र (सूती वस्त्र),8152.2000
hi,"स्लाइड परीक्षक, जीवाश्म विज्ञान",3111.0700
ta,"பெட்ரோலிய சுத்திகரிப்புத் தொழிலாளர்கள், பிற",3134.9900
ta,"சிவில் பொறியாளர், ஜெனரல்",2142.0100
en,Assembler (Clock & Watch),7311.0300
en,"Grader and Matcher, Fur",7531.1400
ta,"தொழில்நுட்ப வல்லுநர், ரப்பர்",2145.1300
hi,मिश्रित पशु उत्पादक,6129.0200
ta,பிரஸ்மேன் (பீங்கான்),8181.0400
ta,"ஃபர் மற்றும் தோல் தயாரிக்கும் இயந்திர ஆபரேட்டர்கள், பிற",8155.9900
en,Social Work Associate Professionals,3412.9900
ta,"கிளேசியர், வாகனம்",7125.0200
en,Fork Lift Truck Operator/Fork Lift Operator/Driver,8344.0201
en,"Knife Dresser, Mica",7542.0600
hi,"मैकेनिक विमान, इंजन ओवरहालिंग",7232.0600
ta,வெப்பக் கருவிகள்,8131.2200
ta,நொதித்தல் மனிதர்,8160.7100
ta,தடையற்ற குழாய் மற்றும் குழாய் உருளை,3135.2500
ta,"பஞ்சர், உலோகம்",7126.0500
en,"Supply, Distribution and Related Managers and General Managers, Other",1324.9900
en,"Larry Car Driver, Furnace",8121.0300
ta,"ரேடியோ கைவினைஞர்கள், பராமரிப்பு",7422.1700
en,Animal Pathologist,2250.0100
en,"Working Proprietor, Storage and Warehousing",1120.2700
ta,நீல அச்சுப்பொறி,3118.0900
ta,உதவி மேசன்,7112.0601
en,"Director, Wholesale Trade",1120.2100
en,"Building and Related Electricians, Other",7411.9900
ta,"சுமந்து செல்லும், வீட்டு/வீட்டுத் தொழிலாளர்கள்",5131.0300
en,Intellectual Property Executive,2611.1001
hi,"रेडियो इंजीनियर, दूरसंचार",2153.0200
en,Design Merchandiser,2163.0201
hi,फोटोस्टैट कैमरा ऑपरेटर/फोटोकापीयर ऑपरेटर,7321.1400
ta,"கிளார்க், ஜெனரல்",4110.0100
ta,"வெல்டர், எதிர்ப்பு",7212.0700
ta,மையவிலக்கு மனிதர்,8160.4000
hi,"विद्युत लाइन इंस्टॉलर, मरम्मत और केबल जॉइन्टर, अन्य",7413.9900
en,"Visual Artists, Other",2651.9900
ta,தேனீ வளர்ப்பாளர்,6123.0101
ta,"விற்பனையாளர், மொத்த விற்பனை வர்த்தகம்",5249.0200
ta,"சமையல், நிறுவன",5120.0200
ta,பகுதி மேலாளர் (தானியங்கி கூறுகள்),3322.0801
hi,"चिकित्सक, यूनानी",2230.0400
hi,"ग्राइंडर, हाथ (अनाज)",7514.0300
hi,हार्मोनियम कुंजी निर्माता,7312.0300
ta,கோர் லேயிங் மெஷின் ஆபரேட்டர்,8172.1100
hi,ऑटो सेवा तकनीकी प्रबंधक/ऑटो सेवा तकनीशियन,3115.0602
hi,टिप्पणी लेखक,2642.0400
hi,"मछुआरे, ज्वारनदमुख, तटीय और अप्रवाही जल",6222.0200
en,"Gatherer, Firewood",6210.0700
en,"Director, Other Services",1120.3600
en,Roll Grinder,7224.0300
ta,"விற்பனை இயந்திர பண சேகரிப்பாளர்கள், மீட்டர் வாசகர்கள் மற்றும் தொடர்புடைய தொழிலாளர்கள், பிற",9623.9900
hi,बैगपाइप निर्माता,7312.1600
en,Mouldman (Glass),7315.0600
en,Electrical Technician,8212.2401
ta,"ஷூமேக்கர், கை",7536.0100
ta,பேஸ்டுரைசிங் ஆலை ஆபரேட்டர் (பால்),8160.0300
ta,மிருகக்காட்சிசாலையின் கால்நடை மருத்துவர்,2250.0500
en,Sampling Tailor,7531.0101
ta,"இன்ஸ்பெக்டர், போலீஸ்",3355.0100
ta,டயர் கட்டிடம் இயக்குபவர்-பயணிகள் வாகனங்கள்,8141.1703
hi,स्लिंगर,7215.0200
hi,"प्रबंधक, यातायात",1324.0500
hi,"सिलाई मशीन संचालक, जनरल",8153.0101
ta,பட்லர்,5131.0100
hi,"पूछताछ क्लर्क, अन्य",4225.9900
hi,"परत, धातु",7313.2300
ta,"ஜெம் கிரைண்டர், இயந்திரம்",8189.0100
en,"Designer, Machine",2144.0200
en,Brine Maker (Chemical),8131.3200
en,Multimedia Artist and Animator/Animator,2166.0201
hi,"टब-साइज़र, हस्तनिर्मित कागज",8171.2000
ta,மாசு கட்டுப்பாட்டு பொறியாளர்,2143.0500
en,Furnace Operator (Smelting & Refining),3135.1300
ta,"நொறுக்கிச் சுடும் இயந்திரம், கரும்பு",8160.3400
ta,"குரங்குப் பணியாளர், கை",7318.6500
en,"Goods Supervisor, Road Transport",1324.1400
en,"Cleaner, Window",9122.0100
ta,பந்து நிரப்புதல் இயந்திர ஆபரேட்டர்,7223.2500
en,"Butchers, Fishmongers and Related Food Preparers, Other",7511.9900
en,"General Manager, Manufacturing",1321.1000
en,"Patrol, Irrigation",4419.0300
en,"Senior Secondary and Secondary School Teacher, Science",2330.0200
en,Exhaust Fan Operator,3132.1100
hi,"बैच स्टिल ऑपरेटर, केमिकल",3133.0400
ta,"பேக்கர், கை",9321.0101
ta,செயல்முறை மற்றும் இறுதி தர பொறியாளர்,3113.0801
en,Ceramic Technologist,2141.2300
en,"Physicians and Surgeons, Other",2269.0400
ta,"மீனவர், ஆழ்கடல்/கடல் மீனவரைப் பிடித்தல்",6223.0101
en,Rough Marker,7313.0903
en,Commercial Executive/Officer,5249.0202
hi,मैनुअल सोल्डरिंग तकनीशियन,8212.1807
ta,"கிரைண்டர், ஜெனரல்",7224.0100
ta,நிதி முகவர்,3312.0100
en,"Dresser, Stage & Studio",5142.0500
hi,"मेट्रन, हाउसकीपिंग",5151.0400
ta,ஃபோட்டோஸ்டேட் கேமரா ஆபரேட்டர்/ஃபோட்டோகாப்பியர் ஆபரேட்டர்,7321.1400
en,Television Installation Man,7422.1100
ta,செயற்கை நார் தயாரிப்பாளர்,8131.6400
en,Warehouse Packer,4321.0603
hi,पिन सेटर (वस्त्र),8151.1600
ta,எரியூட்டும் ஆபரேட்டர்,3132.1300
ta,"பயண டிக்கெட் பரிசோதகர், ரயில்வே",5112.0600
ta,தேயிலைத் தோட்டத் தொழிலாளி,6112.0501
en,Syrup Maker,8160.7700
hi,"चारकोल बर्नर, लकड़ी",6210.1700
en,Cigarette Making Machine Operator,8160.8800
ta,"ஊதுகுழல், ஆய்வக கருவி",7315.0200
