sno,title,nco_2015,nco_2004,division,sub_division,group,family
1503,Bus Conductor,5112.1000,5112.70,Service and Sales Workers,Personal Service Workers,"Travel Attendants, Conductors and Guides",Transport Conductors
1504,"Transport Conductors, Other",5112.9900,5112.90,Service and Sales Workers,Personal Service Workers,"Travel Attendants, Conductors and Guides",Transport Conductors
1505,"Guides, Other",5113.9900,5113.90,Service and Sales Workers,Personal Service Workers,"Travel Attendants, Conductors and Guides",Travel Guides
1506,Travel Agent,5113.0100,5113.10,Service and Sales Workers,Personal Service Workers,"Travel Attendants, Conductors and Guides",Travel Guides
1507,Tourist Guide,5113.0200,5113.20,Service and Sales Workers,Personal Service Workers,"Travel Attendants, Conductors and Guides",Travel Guides
1508,"Cook, Institutional",5120.0200,5122.20,Service and Sales Workers,Personal Service Workers,Cooks,Cooks
1509,"Cook, Domestic",5120.0300,5122.30,Service and Sales Workers,Personal Service Workers,Cooks,Cooks
1510,"Cook, Ship",5120.0400,5122.40,Service and Sales Workers,Personal Service Workers,Cooks,Cooks
1511,Kitchen Porter/Steward,5120.0500,5122.50,Service and Sales Workers,Personal Service Workers,Cooks,Cooks
1512,Pantry Man,5120.0600,5122.60,Service and Sales Workers,Personal Service Workers,Cooks,Cooks
1513,"Cooks, Other",5120.9900,5122.90,Service and Sales Workers,Personal Service Workers,Cooks,Cooks
1514,Butler,5131.0100,5123.10,Service and Sales Workers,Personal Service Workers,Waiters and Bartenders,Waiters
1515,"Steward, Hotel",5131.0200,5123.20,Service and Sales Workers,Personal Service Workers,Waiters and Bartenders,Waiters
1516,"Bearer, Domestic/Household Workers",5131.0300,5123.30,Service and Sales Workers,Personal Service Workers,Waiters and Bartenders,Waiters
1517,"Waiter, Institutional/Food & Beverage Service –Steward",5131.0401,5123.40,Service and Sales Workers,Personal Service Workers,Waiters and Bartenders,Waiters
1518,Wine Waiter,5131.0500,5123.50,Service and Sales Workers,Personal Service Workers,Waiters and Bartenders,Waiters
1519,"Waiters, Other",5131.9900,5123.90,Service and Sales Workers,Personal Service Workers,Waiters and Bartenders,Waiters
1520,Barman,5132.0100,5123.60,Service and Sales Workers,Personal Service Workers,Waiters and Bartenders,Bartenders
1521,"Bartenders, Other",5132.9900,,Service and Sales Workers,Personal Service Workers,Waiters and Bartenders,Bartenders
1522,Hair Stylist,5141.0202,5141.15,Service and Sales Workers,Personal Service Workers,"Hairdressers, Beauticians and Related Workers",Hairdressers
1523,Assistant Hair Stylist,5141.0201,,Service and Sales Workers,Personal Service Workers,"Hairdressers, Beauticians and Related Workers",Hairdressers
1524,Barber,5141.0300,5141.20,Service and Sales Workers,Personal Service Workers,"Hairdressers, Beauticians and Related Workers",Hairdressers
1525,"Hairdressers, Other",5141.9900,,Service and Sales Workers,Personal Service Workers,"Hairdressers, Beauticians and Related Workers",Hairdressers
1526,Hairdresser (Ladies),5141.0100,5141.10,Service and Sales Workers,Personal Service Workers,"Hairdressers, Beauticians and Related Workers",Hairdressers
1527,Beautician,5142.0100,5141.30,Service and Sales Workers,Personal Service Workers,"Hairdressers, Beauticians and Related Workers",Beauticians and Related Workers
1528,Assistant Beautician,5142.0101,,Service and Sales Workers,Personal Service Workers,"Hairdressers, Beauticians and Related Workers",Beauticians and Related Workers
1529,Manicurist,5142.0200,5141.40,Service and Sales Workers,Personal Service Workers,"Hairdressers, Beauticians and Related Workers",Beauticians and Related Workers
1530,Pedicurist and Manicurist,5142.0201,,Service and Sales Workers,Personal Service Workers,"Hairdressers, Beauticians and Related Workers",Beauticians and Related Workers
1531,Skincare Specialist,5142.0300,5141.45,Service and Sales Workers,Personal Service Workers,"Hairdressers, Beauticians and Related Workers",Beauticians and Related Workers
1532,Make-Up Man,5142.0400,5141.50,Service and Sales Workers,Personal Service Workers,"Hairdressers, Beauticians and Related Workers",Beauticians and Related Workers
1533,"Dresser, Stage & Studio",5142.0500,5141.60,Service and Sales Workers,Personal Service Workers,"Hairdressers, Beauticians and Related Workers",Beauticians and Related Workers
1534,Wigman,5142.0600,5141.70,Service and Sales Workers,Personal Service Workers,"Hairdressers, Beauticians and Related Workers",Beauticians and Related Workers
1535,Bath Attendant,5142.0700,5141.80,Service and Sales Workers,Personal Service Workers,"Hairdressers, Beauticians and Related Workers",Beauticians and Related Workers
1536,"Beauticians and Related Workers, Others",5142.9900,5141.90,Service and Sales Workers,Personal Service Workers,"Hairdressers, Beauticians and Related Workers",Beauticians and Related Workers
1537,Room Attendant,5151.0202,,Service and Sales Workers,Personal Service Workers,Building and Housekeeping Supervisor,"Cleaning and Housekeeping Supervisors in Offices, Hotels and Other Establishments"
1538,House Stewards/Domestic Help,5151.0300,5121.30,Service and Sales Workers,Personal Service Workers,Building and Housekeeping Supervisor,"Cleaning and Housekeeping Supervisors in Offices, Hotels and Other Establishments"
