sno , title                                                                       , nco_2015 , nco_2004, division                                     , sub_division                                                    , group                                             , family
3001, Tea Blender                                                                 , 8160.6300,         , "Plant and Machine Operators, and Assemblers", Stationary Plant and Machine Operators                          , Food and Related Products Machine Operators       , Food and Related Products Machine Operators
3002, Dairy Processing Equipment Operator                                         , 8160.0500,  8272.30, "Plant and Machine Operators, and Assemblers", Stationary Plant and Machine Operators                          , Food and Related Products Machine Operators       , Food and Related Products Machine Operators
3003, Fruit Press Operator (Food Canning and Preserving)                          , 8160.2400,  8275.30, "Plant and Machine Operators, and Assemblers", Stationary Plant and Machine Operators                          , Food and Related Products Machine Operators       , Food and Related Products Machine Operators
3004, Centrifugal Man                                                             , 8160.4000,  8276.65, "Plant and Machine Operators, and Assemblers", Stationary Plant and Machine Operators                          , Food and Related Products Machine Operators       , Food and Related Products Machine Operators
3005, Tea Maker                                                                   , 8160.5700,  8277.10, "Plant and Machine Operators, and Assemblers", Stationary Plant and Machine Operators                          , Food and Related Products Machine Operators       , Food and Related Products Machine Operators
3006, Filterman                                                                   , 8160.7400,  8278.25, "Plant and Machine Operators, and Assemblers", Stationary Plant and Machine Operators                          , Food and Related Products Machine Operators       , Food and Related Products Machine Operators
3007, "Miller, Food Grains"                                                       , 8160.0700,  8273.10, "Plant and Machine Operators, and Assemblers", Stationary Plant and Machine Operators                          , Food and Related Products Machine Operators       , Food and Related Products Machine Operators
3008, Seaming Machine Operator (Food Canning and Preserving)                      , 8160.2500,  8275.40, "Plant and Machine Operators, and Assemblers", Stationary Plant and Machine Operators                          , Food and Related Products Machine Operators       , Food and Related Products Machine Operators
3009, Magmaman                                                                    , 8160.4100,  8276.70, "Plant and Machine Operators, and Assemblers", Stationary Plant and Machine Operators                          , Food and Related Products Machine Operators       , Food and Related Products Machine Operators
3010, Withering Loft Attendant (Tea)                                              , 8160.5800,  8277.15, "Plant and Machine Operators, and Assemblers", Stationary Plant and Machine Operators                          , Food and Related Products Machine Operators       , Food and Related Products Machine Operators
3011, "Pasteuriser, Brewery"                                                      , 8160.7500,  8278.30, "Plant and Machine Operators, and Assemblers", Stationary Plant and Machine Operators                          , Food and Related Products Machine Operators       , Food and Related Products Machine Operators
3018, Processing Man (Food Canning and Preserving)                                , 8160.2700,  8275.50, "Plant and Machine Operators, and Assemblers", Stationary Plant and Machine Operators                          , Food and Related Products Machine Operators       , Food and Related Products Machine Operators
3019, "Cane Carrier Driver, Mill House"                                           , 8160.4300,  8276.72, "Plant and Machine Operators, and Assemblers", Stationary Plant and Machine Operators                          , Food and Related Products Machine Operators       , Food and Related Products Machine Operators
3020, Pulp Houseman (Coffee)                                                      , 8160.6000,  8277.25, "Plant and Machine Operators, and Assemblers", Stationary Plant and Machine Operators                          , Food and Related Products Machine Operators       , Food and Related Products Machine Operators
3021, Syrup Maker                                                                 , 8160.7700,  8278.40, "Plant and Machine Operators, and Assemblers", Stationary Plant and Machine Operators                          , Food and Related Products Machine Operators       , Food and Related Products Machine Operators
3022, Flour Mill Operator                                                         , 8160.1000,  8273.40, "Plant and Machine Operators, and Assemblers", Stationary Plant and Machine Operators                          , Food and Related Products Machine Operators       , Food and Related Products Machine Operators
3023, Panman (Food Canning and Preserving)                                        , 8160.2800,  8275.55, "Plant and Machine Operators, and Assemblers", Stationary Plant and Machine Operators                          , Food and Related Products Machine Operators       , Food and Related Products Machine Operators
3024, Raw Juice Tank Pump Attendant                                               , 8160.4400,  8276.73, "Plant and Machine Operators, and Assemblers", Stationary Plant and Machine Operators                          , Food and Related Products Machine Operators       , Food and Related Products Machine Operators
3025, Peeling Machine Attendant (Coffee)                                          , 8160.6100,  8277.30, "Plant and Machine Operators, and Assemblers", Stationary Plant and Machine Operators                          , Food and Related Products Machine Operators       , Food and Related Products Machine Operators
3026, Syrup Mixing Plant Operator                                                 , 8160.7800,  8278.45, "Plant and Machine Operators, and Assemblers", Stationary Plant and Machine Operators                          , Food and Related Products Machine Operators       , Food and Related Products Machine Operators
3027, "Siever, Machine"                                                           , 8160.1100,  8273.50, "Plant and Machine Operators, and Assemblers", Stationary Plant and Machine Operators                          , Food and Related Products Machine Operators       , Food and Related Products Machine Operators
3028, Exhaust Box Operator (Food Canning and Preserving)                          , 8160.2900,  8275.60, "Plant and Machine Operators, and Assemblers", Stationary Plant and Machine Operators                          , Food and Related Products Machine Operators       , Food and Related Products Machine Operators
3029, Juice Measuring Man                                                         , 8160.4500,  8276.74, "Plant and Machine Operators, and Assemblers", Stationary Plant and Machine Operators                          , Food and Related Products Machine Operators       , Food and Related Products Machine Operators
3030, Firing Machine Attendant (Tea)                                              , 8160.6200,  8277.35, "Plant and Machine Operators, and Assemblers", Stationary Plant and Machine Operators                          , Food and Related Products Machine Operators       , Food and Related Products Machine Operators
3031, Syruper                                                                     , 8160.7900,  8278.47, "Plant and Machine Operators, and Assemblers", Stationary Plant and Machine Operators                          , Food and Related Products Machine Operators       , Food and Related Products Machine Operators
3032, "Oil Crusher Operator, Power"                                               , 8160.1200,  8273.60, "Plant and Machine Operators, and Assemblers", Stationary Plant and Machine Operators                          , Food and Related Products Machine Operators       , Food and Related Products Machine Operators
3033, Foodstuff Freezer                                                           , 8160.3000,  8275.65, "Plant and Machine Operators, and Assemblers", Stationary Plant and Machine Operators                          , Food and Related Products Machine Operators       , Food and Related Products Machine Operators
3034, Lime Juice Tank Attendant                                                   , 8160.4600,  8276.75, "Plant and Machine Operators, and Assemblers", Stationary Plant and Machine Operators                          , Food and Related Products Machine Operators       , Food and Related Products Machine Operators
3035, Tea Blender                                                                 , 8160.6300,  8277.40, "Plant and Machine Operators, and Assemblers", Stationary Plant and Machine Operators                          , Food and Related Products Machine Operators       , Food and Related Products Machine Operators
3036, Bottling Plant In-Charge                                                    , 8160.8000,  8278.50, "Plant and Machine Operators, and Assemblers", Stationary Plant and Machine Operators                          , Food and Related Products Machine Operators       , Food and Related Products Machine Operators
3037, Filter Press Operator (Oil)                                                 , 8160.1300,  8273.65, "Plant and Machine Operators, and Assemblers", Stationary Plant and Machine Operators                          , Food and Related Products Machine Operators       , Food and Related Products Machine Operators
3038, Peanut Blancher                                                             , 8160.3100,  8275.70, "Plant and Machine Operators, and Assemblers", Stationary Plant and Machine Operators                          , Food and Related Products Machine Operators       , Food and Related Products Machine Operators
3039, Juice Heater Man                                                            , 8160.4700,  8276.76, "Plant and Machine Operators, and Assemblers", Stationary Plant and Machine Operators                          , Food and Related Products Machine Operators       , Food and Related Products Machine Operators
3040, Coffee Blender                                                              , 8160.6400,  8277.45, "Plant and Machine Operators, and Assemblers", Stationary Plant and Machine Operators                          , Food and Related Products Machine Operators       , Food and Related Products Machine Operators
3041, "Bottle Washer, Machine"                                                    , 8160.8100,  8278.55, "Plant and Machine Operators, and Assemblers", Stationary Plant and Machine Operators                          , Food and Related Products Machine Operators       , Food and Related Products Machine Operators
3042, Wafer Baking Machine Operator (Baking)                                      , 8160.1500,  8274.10, "Plant and Machine Operators, and Assemblers", Stationary Plant and Machine Operators                          , Food and Related Products Machine Operators       , Food and Related Products Machine Operators
3043, Dehydrator Tender (Canning & Preservation)                                  , 8160.3200,  8275.72, "Plant and Machine Operators, and Assemblers", Stationary Plant and Machine Operators                          , Food and Related Products Machine Operators       , Food and Related Products Machine Operators
3044, Juice Heater Helper                                                         , 8160.4800,  8276.77, "Plant and Machine Operators, and Assemblers", Stationary Plant and Machine Operators                          , Food and Related Products Machine Operators       , Food and Related Products Machine Operators
3045, Coffee Roaster                                                              , 8160.6500,  8277.50, "Plant and Machine Operators, and Assemblers", Stationary Plant and Machine Operators                          , Food and Related Products Machine Operators       , Food and Related Products Machine Operators
3046, Carbonator Machine Attendant                                                , 8160.8200,  8278.60, "Plant and Machine Operators, and Assemblers", Stationary Plant and Machine Operators                          , Food and Related Products Machine Operators       , Food and Related Products Machine Operators
3047, Cooker Operator                                                             , 8160.1600,  8274.20, "Plant and Machine Operators, and Assemblers", Stationary Plant and Machine Operators                          , Food and Related Products Machine Operators       , Food and Related Products Machine Operators
3048, Refining – Machine Operator (Oil & Grease)                                  , 8160.3300,  8275.74, "Plant and Machine Operators, and Assemblers", Stationary Plant and Machine Operators                          , Food and Related Products Machine Operators       , Food and Related Products Machine Operators
3049, Carbonation Man                                                             , 8160.4900,  8276.78, "Plant and Machine Operators, and Assemblers", Stationary Plant and Machine Operators                          , Food and Related Products Machine Operators       , Food and Related Products Machine Operators
